truth,predicted,count
Missouri Attorney General Reports,Court of Appeals of Oregon,2
Missouri Court of Appeals,Court of Appeals of Oregon,0
Montana Supreme Court,Court of Appeals of Oregon,1
Nebraska Attorney General Reports,Court of Appeals of Oregon,2
Nebraska Court of Appeals,Court of Appeals of Oregon,0
Nevada Supreme Court,Court of Appeals of Oregon,1
New Jersey Court of Chancery,Court of Appeals of Oregon,0
New Jersey Superior Court Appellate Division,Court of Appeals of Oregon,1
New Jersey Tax Court,Court of Appeals of Oregon,0
New Mexico Supreme Court,Court of Appeals of Oregon,0
New York Attorney General Reports,Court of Appeals of Oregon,0
New York Court of Appeals,Court of Appeals of Oregon,6
New York Supreme Court,Court of Appeals of Oregon,0
New York Surrogate's Court,Court of Appeals of Oregon,0
North Carolina Industrial Commission,Court of Appeals of Oregon,2
North Dakota Supreme Court,Court of Appeals of Oregon,0
Ohio Court of Appeals,Court of Appeals of Oregon,3
Ohio Supreme Court,Court of Appeals of Oregon,0
Oklahoma Attorney General Reports,Court of Appeals of Oregon,0
Oregon Supreme Court,Court of Appeals of Oregon,1
Oregon Tax Court,Court of Appeals of Oregon,0
South Dakota Supreme Court,Court of Appeals of Oregon,2
Superior Court of Delaware,Court of Appeals of Oregon,0
Superior Court of North Carolina,Court of Appeals of Oregon,0
Superior Court of Pennsylvania,Court of Appeals of Oregon,10
Superior Court of Rhode Island,Court of Appeals of Oregon,0
Supreme Court of Alabama,Court of Appeals of Oregon,4
Supreme Court of Arkansas,Court of Appeals of Oregon,0
Supreme Court of Colorado,Court of Appeals of Oregon,0
Supreme Court of Connecticut,Court of Appeals of Oregon,0
Supreme Court of Delaware,Court of Appeals of Oregon,0
Supreme Court of Florida,Court of Appeals of Oregon,5
Supreme Court of Georgia,Court of Appeals of Oregon,0
Supreme Court of Iowa,Court of Appeals of Oregon,0
Supreme Court of Kansas,Court of Appeals of Oregon,0
Supreme Court of Louisiana,Court of Appeals of Oregon,4
Supreme Court of Minnesota,Court of Appeals of Oregon,0
Supreme Court of Missouri,Court of Appeals of Oregon,1
Supreme Court of New Hampshire,Court of Appeals of Oregon,0
Supreme Court of New Jersey,Court of Appeals of Oregon,0
Supreme Court of North Carolina,Court of Appeals of Oregon,0
Supreme Court of Oklahoma,Court of Appeals of Oregon,0
Supreme Court of Pennsylvania,Court of Appeals of Oregon,2
Supreme Court of Puerto Rico,Court of Appeals of Oregon,0
Supreme Court of Rhode Island,Court of Appeals of Oregon,0
Supreme Court of South Carolina,Court of Appeals of Oregon,0
Supreme Court of the United States,Court of Appeals of Oregon,50
Supreme Court of Vermont,Court of Appeals of Oregon,0
Supreme Court of Virginia,Court of Appeals of Oregon,0
Tennessee Superior Court for Law and Equity,Court of Appeals of Oregon,0
Tennessee Supreme Court,Court of Appeals of Oregon,0
Texas Attorney General Reports,Court of Appeals of Oregon,0
"Texas Court of Appeals, 10th District (Waco)",Court of Appeals of Oregon,0
"Texas Court of Appeals, 11th District (Eastland)",Court of Appeals of Oregon,0
"Texas Court of Appeals, 12th District (Tyler)",Court of Appeals of Oregon,0
"Texas Court of Appeals, 13th District",Court of Appeals of Oregon,1
"Texas Court of Appeals, 2nd District (Fort Worth)",Court of Appeals of Oregon,1
"Texas Court of Appeals, 3rd District (Austin)",Court of Appeals of Oregon,0
"Texas Court of Appeals, 4th District (San Antonio)",Court of Appeals of Oregon,1
"Texas Court of Appeals, 6th District (Texarkana)",Court of Appeals of Oregon,0
"Texas Court of Appeals, 7th District (Amarillo)",Court of Appeals of Oregon,1
"Texas Court of Appeals, 8th District (El Paso)",Court of Appeals of Oregon,0
"Texas Court of Appeals, 9th District (Beaumont)",Court of Appeals of Oregon,0
Texas Supreme Court,Court of Appeals of Oregon,0
U.S. Circuit Court for the District of District of Columbia,Court of Appeals of Oregon,0
U.S. Circuit Court for the District of Massachusetts,Court of Appeals of Oregon,0
United States Board of Tax Appeals,Court of Appeals of Oregon,0
United States Court of International Trade,Court of Appeals of Oregon,0
Utah Supreme Court,Court of Appeals of Oregon,0
Washington Supreme Court,Court of Appeals of Oregon,1
Wisconsin Supreme Court,Court of Appeals of Oregon,0
Alabama Court of Appeals,Court of Appeals of South Carolina,2
Alaska Supreme Court,Court of Appeals of South Carolina,0
Appellate Court of Illinois,Court of Appeals of South Carolina,24
Appellate Division of the Supreme Court of the State of New York,Court of Appeals of South Carolina,1
Arizona Supreme Court,Court of Appeals of South Carolina,1
Arkansas Attorney General Reports,Court of Appeals of South Carolina,3
Board of Veterans' Appeals,Court of Appeals of South Carolina,0
California Court of Appeal,Court of Appeals of South Carolina,0
California Supreme Court,Court of Appeals of South Carolina,2
Colorado Attorney General Reports,Court of Appeals of South Carolina,0
Colorado Court of Appeals,Court of Appeals of South Carolina,0
Commonwealth Court of Pennsylvania,Court of Appeals of South Carolina,0
Connecticut Appellate Court,Court of Appeals of South Carolina,0
Connecticut Superior Court,Court of Appeals of South Carolina,11
Court for the Trial of Impeachments and Correction of Errors,Court of Appeals of South Carolina,1
Court of Appeals for the D.C. Circuit,Court of Appeals of South Carolina,0
Court of Appeals for the Eighth Circuit,Court of Appeals of South Carolina,0
Court of Appeals for the Eleventh Circuit,Court of Appeals of South Carolina,2
Court of Appeals for the Federal Circuit,Court of Appeals of South Carolina,0
Court of Appeals for the Fifth Circuit,Court of Appeals of South Carolina,1
Court of Appeals for the First Circuit,Court of Appeals of South Carolina,0
Court of Appeals for the Fourth Circuit,Court of Appeals of South Carolina,0
Court of Appeals for the Ninth Circuit,Court of Appeals of South Carolina,0
Court of Appeals for the Second Circuit,Court of Appeals of South Carolina,0
Court of Appeals for the Seventh Circuit,Court of Appeals of South Carolina,0
Court of Appeals for the Sixth Circuit,Court of Appeals of South Carolina,0
Court of Appeals for the Tenth Circuit,Court of Appeals of South Carolina,0
Court of Appeals for the Third Circuit,Court of Appeals of South Carolina,0
Court of Appeals of Arkansas,Court of Appeals of South Carolina,0
Court of Appeals of Georgia,Court of Appeals of South Carolina,0
Court of Appeals of Iowa,Court of Appeals of South Carolina,0
Court of Appeals of Kansas,Court of Appeals of South Carolina,2
Court of Appeals of Kentucky (pre-1976),Court of Appeals of South Carolina,0
Court of Appeals of Maryland,Court of Appeals of South Carolina,5
Court of Appeals of Minnesota,Court of Appeals of South Carolina,0
Court of Appeals of Mississippi,Court of Appeals of South Carolina,0
Court of Appeals of North Carolina,Court of Appeals of South Carolina,11
Court of Appeals of Oregon,Court of Appeals of South Carolina,3
Court of Appeals of South Carolina,Court of Appeals of South Carolina,0
Court of Appeals of Texas,Court of Appeals of South Carolina,0
Court of Appeals of Washington,Court of Appeals of South Carolina,0
Court of Appeals of Wisconsin,Court of Appeals of South Carolina,1
Court of Chancery of Delaware,Court of Appeals of South Carolina,0
Court of Civil Appeals of Alabama,Court of Appeals of South Carolina,5
Court of Claims of Illinois,Court of Appeals of South Carolina,2
Court of Criminal Appeals of Alabama,Court of Appeals of South Carolina,4
Court of Criminal Appeals of Oklahoma,Court of Appeals of South Carolina,0
Court of Criminal Appeals of Texas,Court of Appeals of South Carolina,0
Court of Customs and Patent Appeals,Court of Appeals of South Carolina,0
Court of King's Bench,Court of Appeals of South Carolina,1
District Court of Appeal of Florida,Court of Appeals of South Carolina,1
"District Court, C.D. California",Court of Appeals of South Carolina,0
"District Court, D. Alaska",Court of Appeals of South Carolina,0
"District Court, D. Arizona",Court of Appeals of South Carolina,0
"District Court, D. Massachusetts",Court of Appeals of South Carolina,0
"District Court, D. New Hampshire",Court of Appeals of South Carolina,0
"District Court, D. New Jersey",Court of Appeals of South Carolina,0
"District Court, D. South Carolina",Court of Appeals of South Carolina,0
"District Court, District of Columbia",Court of Appeals of South Carolina,0
"District Court, E.D. California",Court of Appeals of South Carolina,0
"District Court, E.D. New York",Court of Appeals of South Carolina,0
"District Court, E.D. Pennsylvania",Court of Appeals of South Carolina,0
"District Court, M.D. Florida",Court of Appeals of South Carolina,0
"District Court, N.D. California",Court of Appeals of South Carolina,0
"District Court, N.D. Illinois",Court of Appeals of South Carolina,0
"District Court, N.D. Indiana",Court of Appeals of South Carolina,0
"District Court, S.D. Florida",Court of Appeals of South Carolina,0
"District Court, S.D. Illinois",Court of Appeals of South Carolina,0
"District Court, S.D. New York",Court of Appeals of South Carolina,0
"District Court, W.D. Michigan",Court of Appeals of South Carolina,1
District of Columbia Court of Appeals,Court of Appeals of South Carolina,0
Florida Attorney General Reports,Court of Appeals of South Carolina,0
Florida Fifth District Court of Appeal,Court of Appeals of South Carolina,0
Florida First District Court of Appeal,Court of Appeals of South Carolina,0
Florida Fourth District Court of Appeal,Court of Appeals of South Carolina,0
Florida Second District Court of Appeal,Court of Appeals of South Carolina,0
Florida Third District Court of Appeal,Court of Appeals of South Carolina,0
Hawaii Intermediate Court of Appeals,Court of Appeals of South Carolina,1
Hawaii Supreme Court,Court of Appeals of South Carolina,0
Idaho Court of Appeals,Court of Appeals of South Carolina,0
Idaho Supreme Court,Court of Appeals of South Carolina,0
Illinois Supreme Court,Court of Appeals of South Carolina,4
Indiana Court of Appeals,Court of Appeals of South Carolina,2
Indiana Supreme Court,Court of Appeals of South Carolina,0
Louisiana Attorney General Reports,Court of Appeals of South Carolina,4
Louisiana Court of Appeal,Court of Appeals of South Carolina,1
Massachusetts Appeals Court,Court of Appeals of South Carolina,0
Massachusetts Supreme Judicial Court,Court of Appeals of South Carolina,0
Michigan Supreme Court,Court of Appeals of South Carolina,0
Mississippi Supreme Court,Court of Appeals of South Carolina,2
Missouri Attorney General Reports,Court of Appeals of South Carolina,2
Missouri Court of Appeals,Court of Appeals of South Carolina,2
Montana Supreme Court,Court of Appeals of South Carolina,2
Nebraska Attorney General Reports,Court of Appeals of South Carolina,0
Nebraska Court of Appeals,Court of Appeals of South Carolina,0
Nevada Supreme Court,Court of Appeals of South Carolina,1
New Jersey Court of Chancery,Court of Appeals of South Carolina,0
New Jersey Superior Court Appellate Division,Court of Appeals of South Carolina,4
New Jersey Tax Court,Court of Appeals of South Carolina,0
New Mexico Supreme Court,Court of Appeals of South Carolina,3
New York Attorney General Reports,Court of Appeals of South Carolina,0
New York Court of Appeals,Court of Appeals of South Carolina,4
New York Supreme Court,Court of Appeals of South Carolina,1
New York Surrogate's Court,Court of Appeals of South Carolina,0
North Carolina Industrial Commission,Court of Appeals of South Carolina,2
North Dakota Supreme Court,Court of Appeals of South Carolina,0
Ohio Court of Appeals,Court of Appeals of South Carolina,4
Ohio Supreme Court,Court of Appeals of South Carolina,0
Oklahoma Attorney General Reports,Court of Appeals of South Carolina,1
Oregon Supreme Court,Court of Appeals of South Carolina,1
Oregon Tax Court,Court of Appeals of South Carolina,0
South Dakota Supreme Court,Court of Appeals of South Carolina,0
Superior Court of Delaware,Court of Appeals of South Carolina,1
Superior Court of North Carolina,Court of Appeals of South Carolina,0
Superior Court of Pennsylvania,Court of Appeals of South Carolina,8
Superior Court of Rhode Island,Court of Appeals of South Carolina,0
Supreme Court of Alabama,Court of Appeals of South Carolina,4
Supreme Court of Arkansas,Court of Appeals of South Carolina,0
Supreme Court of Colorado,Court of Appeals of South Carolina,0
Supreme Court of Connecticut,Court of Appeals of South Carolina,0
Supreme Court of Delaware,Court of Appeals of South Carolina,1
Supreme Court of Florida,Court of Appeals of South Carolina,3
Supreme Court of Georgia,Court of Appeals of South Carolina,1
Supreme Court of Iowa,Court of Appeals of South Carolina,0
Supreme Court of Kansas,Court of Appeals of South Carolina,0
Supreme Court of Louisiana,Court of Appeals of South Carolina,3
Supreme Court of Minnesota,Court of Appeals of South Carolina,0
Supreme Court of Missouri,Court of Appeals of South Carolina,3
Supreme Court of New Hampshire,Court of Appeals of South Carolina,0
Supreme Court of New Jersey,Court of Appeals of South Carolina,0
Supreme Court of North Carolina,Court of Appeals of South Carolina,3
Supreme Court of Oklahoma,Court of Appeals of South Carolina,0
Supreme Court of Pennsylvania,Court of Appeals of South Carolina,1
Supreme Court of Puerto Rico,Court of Appeals of South Carolina,0
Supreme Court of Rhode Island,Court of Appeals of South Carolina,0
Supreme Court of South Carolina,Court of Appeals of South Carolina,0
Supreme Court of the United States,Court of Appeals of South Carolina,46
Supreme Court of Vermont,Court of Appeals of South Carolina,0
Supreme Court of Virginia,Court of Appeals of South Carolina,0
Tennessee Superior Court for Law and Equity,Court of Appeals of South Carolina,0
Tennessee Supreme Court,Court of Appeals of South Carolina,0
Texas Attorney General Reports,Court of Appeals of South Carolina,0
"Texas Court of Appeals, 10th District (Waco)",Court of Appeals of South Carolina,0
"Texas Court of Appeals, 11th District (Eastland)",Court of Appeals of South Carolina,0
"Texas Court of Appeals, 12th District (Tyler)",Court of Appeals of South Carolina,1
"Texas Court of Appeals, 13th District",Court of Appeals of South Carolina,0
"Texas Court of Appeals, 2nd District (Fort Worth)",Court of Appeals of South Carolina,1
"Texas Court of Appeals, 3rd District (Austin)",Court of Appeals of South Carolina,1
"Texas Court of Appeals, 4th District (San Antonio)",Court of Appeals of South Carolina,2
"Texas Court of Appeals, 6th District (Texarkana)",Court of Appeals of South Carolina,0
"Texas Court of Appeals, 7th District (Amarillo)",Court of Appeals of South Carolina,0
"Texas Court of Appeals, 8th District (El Paso)",Court of Appeals of South Carolina,0
"Texas Court of Appeals, 9th District (Beaumont)",Court of Appeals of South Carolina,1
Texas Supreme Court,Court of Appeals of South Carolina,0
U.S. Circuit Court for the District of District of Columbia,Court of Appeals of South Carolina,0
U.S. Circuit Court for the District of Massachusetts,Court of Appeals of South Carolina,0
United States Board of Tax Appeals,Court of Appeals of South Carolina,0
United States Court of International Trade,Court of Appeals of South Carolina,0
Utah Supreme Court,Court of Appeals of South Carolina,0
Washington Supreme Court,Court of Appeals of South Carolina,0
Wisconsin Supreme Court,Court of Appeals of South Carolina,1
Alabama Court of Appeals,Court of Appeals of Texas,3
Alaska Supreme Court,Court of Appeals of Texas,0
Appellate Court of Illinois,Court of Appeals of Texas,34
Appellate Division of the Supreme Court of the State of New York,Court of Appeals of Texas,0
Arizona Supreme Court,Court of Appeals of Texas,0
Arkansas Attorney General Reports,Court of Appeals of Texas,0
Board of Veterans' Appeals,Court of Appeals of Texas,0
California Court of Appeal,Court of Appeals of Texas,0
California Supreme Court,Court of Appeals of Texas,0
Colorado Attorney General Reports,Court of Appeals of Texas,0
Colorado Court of Appeals,Court of Appeals of Texas,1
Commonwealth Court of Pennsylvania,Court of Appeals of Texas,0
Connecticut Appellate Court,Court of Appeals of Texas,0
Connecticut Superior Court,Court of Appeals of Texas,10
Court for the Trial of Impeachments and Correction of Errors,Court of Appeals of Texas,1
Court of Appeals for the D.C. Circuit,Court of Appeals of Texas,0
Court of Appeals for the Eighth Circuit,Court of Appeals of Texas,0
Court of Appeals for the Eleventh Circuit,Court of Appeals of Texas,0
Court of Appeals for the Federal Circuit,Court of Appeals of Texas,0
Court of Appeals for the Fifth Circuit,Court of Appeals of Texas,1
Court of Appeals for the First Circuit,Court of Appeals of Texas,0
Court of Appeals for the Fourth Circuit,Court of Appeals of Texas,1
Court of Appeals for the Ninth Circuit,Court of Appeals of Texas,0
Court of Appeals for the Second Circuit,Court of Appeals of Texas,1
Court of Appeals for the Seventh Circuit,Court of Appeals of Texas,0
Court of Appeals for the Sixth Circuit,Court of Appeals of Texas,0
Court of Appeals for the Tenth Circuit,Court of Appeals of Texas,0
Court of Appeals for the Third Circuit,Court of Appeals of Texas,0
Court of Appeals of Arkansas,Court of Appeals of Texas,0
Court of Appeals of Georgia,Court of Appeals of Texas,0
Court of Appeals of Iowa,Court of Appeals of Texas,0
Court of Appeals of Kansas,Court of Appeals of Texas,1
Court of Appeals of Kentucky (pre-1976),Court of Appeals of Texas,0
Court of Appeals of Maryland,Court of Appeals of Texas,3
Court of Appeals of Minnesota,Court of Appeals of Texas,0
Court of Appeals of Mississippi,Court of Appeals of Texas,0
Court of Appeals of North Carolina,Court of Appeals of Texas,5
Court of Appeals of Oregon,Court of Appeals of Texas,3
Court of Appeals of South Carolina,Court of Appeals of Texas,0
Court of Appeals of Texas,Court of Appeals of Texas,1
Court of Appeals of Washington,Court of Appeals of Texas,0
Court of Appeals of Wisconsin,Court of Appeals of Texas,1
Court of Chancery of Delaware,Court of Appeals of Texas,0
Court of Civil Appeals of Alabama,Court of Appeals of Texas,0
Court of Claims of Illinois,Court of Appeals of Texas,2
Court of Criminal Appeals of Alabama,Court of Appeals of Texas,2
Court of Criminal Appeals of Oklahoma,Court of Appeals of Texas,0
Court of Criminal Appeals of Texas,Court of Appeals of Texas,0
Court of Customs and Patent Appeals,Court of Appeals of Texas,1
Court of King's Bench,Court of Appeals of Texas,2
District Court of Appeal of Florida,Court of Appeals of Texas,0
"District Court, C.D. California",Court of Appeals of Texas,0
"District Court, D. Alaska",Court of Appeals of Texas,0
"District Court, D. Arizona",Court of Appeals of Texas,0
"District Court, D. Massachusetts",Court of Appeals of Texas,0
"District Court, D. New Hampshire",Court of Appeals of Texas,0
"District Court, D. New Jersey",Court of Appeals of Texas,0
"District Court, D. South Carolina",Court of Appeals of Texas,0
"District Court, District of Columbia",Court of Appeals of Texas,0
"District Court, E.D. California",Court of Appeals of Texas,0
"District Court, E.D. New York",Court of Appeals of Texas,0
"District Court, E.D. Pennsylvania",Court of Appeals of Texas,0
"District Court, M.D. Florida",Court of Appeals of Texas,0
"District Court, N.D. California",Court of Appeals of Texas,0
"District Court, N.D. Illinois",Court of Appeals of Texas,0
"District Court, N.D. Indiana",Court of Appeals of Texas,0
"District Court, S.D. Florida",Court of Appeals of Texas,0
"District Court, S.D. Illinois",Court of Appeals of Texas,0
"District Court, S.D. New York",Court of Appeals of Texas,0
"District Court, W.D. Michigan",Court of Appeals of Texas,0
District of Columbia Court of Appeals,Court of Appeals of Texas,1
Florida Attorney General Reports,Court of Appeals of Texas,0
Florida Fifth District Court of Appeal,Court of Appeals of Texas,0
Florida First District Court of Appeal,Court of Appeals of Texas,0
Florida Fourth District Court of Appeal,Court of Appeals of Texas,0
Florida Second District Court of Appeal,Court of Appeals of Texas,1
Florida Third District Court of Appeal,Court of Appeals of Texas,0
Hawaii Intermediate Court of Appeals,Court of Appeals of Texas,0
Hawaii Supreme Court,Court of Appeals of Texas,0
Idaho Court of Appeals,Court of Appeals of Texas,0
Idaho Supreme Court,Court of Appeals of Texas,0
Illinois Supreme Court,Court of Appeals of Texas,3
Indiana Court of Appeals,Court of Appeals of Texas,0
Indiana Supreme Court,Court of Appeals of Texas,0
Louisiana Attorney General Reports,Court of Appeals of Texas,1
Louisiana Court of Appeal,Court of Appeals of Texas,1
Massachusetts Appeals Court,Court of Appeals of Texas,0
Massachusetts Supreme Judicial Court,Court of Appeals of Texas,0
Michigan Supreme Court,Court of Appeals of Texas,0
Mississippi Supreme Court,Court of Appeals of Texas,3
Missouri Attorney General Reports,Court of Appeals of Texas,4
Missouri Court of Appeals,Court of Appeals of Texas,0
Montana Supreme Court,Court of Appeals of Texas,1
Nebraska Attorney General Reports,Court of Appeals of Texas,1
Nebraska Court of Appeals,Court of Appeals of Texas,0
Nevada Supreme Court,Court of Appeals of Texas,1
New Jersey Court of Chancery,Court of Appeals of Texas,0
New Jersey Superior Court Appellate Division,Court of Appeals of Texas,1
New Jersey Tax Court,Court of Appeals of Texas,0
New Mexico Supreme Court,Court of Appeals of Texas,0
New York Attorney General Reports,Court of Appeals of Texas,0
New York Court of Appeals,Court of Appeals of Texas,7
New York Supreme Court,Court of Appeals of Texas,0
New York Surrogate's Court,Court of Appeals of Texas,0
North Carolina Industrial Commission,Court of Appeals of Texas,3
North Dakota Supreme Court,Court of Appeals of Texas,0
Ohio Court of Appeals,Court of Appeals of Texas,5
Ohio Supreme Court,Court of Appeals of Texas,2
Oklahoma Attorney General Reports,Court of Appeals of Texas,3
Oregon Supreme Court,Court of Appeals of Texas,2
Oregon Tax Court,Court of Appeals of Texas,0
South Dakota Supreme Court,Court of Appeals of Texas,2
Superior Court of Delaware,Court of Appeals of Texas,0
Superior Court of North Carolina,Court of Appeals of Texas,0
Superior Court of Pennsylvania,Court of Appeals of Texas,5
Superior Court of Rhode Island,Court of Appeals of Texas,0
Supreme Court of Alabama,Court of Appeals of Texas,1
Supreme Court of Arkansas,Court of Appeals of Texas,0
Supreme Court of Colorado,Court of Appeals of Texas,0
Supreme Court of Connecticut,Court of Appeals of Texas,0
Supreme Court of Delaware,Court of Appeals of Texas,2
Supreme Court of Florida,Court of Appeals of Texas,2
Supreme Court of Georgia,Court of Appeals of Texas,1
Supreme Court of Iowa,Court of Appeals of Texas,0
Supreme Court of Kansas,Court of Appeals of Texas,0
Supreme Court of Louisiana,Court of Appeals of Texas,2
Supreme Court of Minnesota,Court of Appeals of Texas,0
Supreme Court of Missouri,Court of Appeals of Texas,1
Supreme Court of New Hampshire,Court of Appeals of Texas,0
Supreme Court of New Jersey,Court of Appeals of Texas,0
Supreme Court of North Carolina,Court of Appeals of Texas,5
Supreme Court of Oklahoma,Court of Appeals of Texas,0
Supreme Court of Pennsylvania,Court of Appeals of Texas,1
Supreme Court of Puerto Rico,Court of Appeals of Texas,0
Supreme Court of Rhode Island,Court of Appeals of Texas,0
Supreme Court of South Carolina,Court of Appeals of Texas,0
Supreme Court of the United States,Court of Appeals of Texas,49
Supreme Court of Vermont,Court of Appeals of Texas,0
Supreme Court of Virginia,Court of Appeals of Texas,0
Tennessee Superior Court for Law and Equity,Court of Appeals of Texas,0
Tennessee Supreme Court,Court of Appeals of Texas,0
Texas Attorney General Reports,Court of Appeals of Texas,0
"Texas Court of Appeals, 10th District (Waco)",Court of Appeals of Texas,0
"Texas Court of Appeals, 11th District (Eastland)",Court of Appeals of Texas,0
"Texas Court of Appeals, 12th District (Tyler)",Court of Appeals of Texas,1
"Texas Court of Appeals, 13th District",Court of Appeals of Texas,0
"Texas Court of Appeals, 2nd District (Fort Worth)",Court of Appeals of Texas,0
"Texas Court of Appeals, 3rd District (Austin)",Court of Appeals of Texas,0
"Texas Court of Appeals, 4th District (San Antonio)",Court of Appeals of Texas,0
"Texas Court of Appeals, 6th District (Texarkana)",Court of Appeals of Texas,0
"Texas Court of Appeals, 7th District (Amarillo)",Court of Appeals of Texas,2
"Texas Court of Appeals, 8th District (El Paso)",Court of Appeals of Texas,0
"Texas Court of Appeals, 9th District (Beaumont)",Court of Appeals of Texas,1
Texas Supreme Court,Court of Appeals of Texas,0
U.S. Circuit Court for the District of District of Columbia,Court of Appeals of Texas,0
U.S. Circuit Court for the District of Massachusetts,Court of Appeals of Texas,0
United States Board of Tax Appeals,Court of Appeals of Texas,0
United States Court of International Trade,Court of Appeals of Texas,0
Utah Supreme Court,Court of Appeals of Texas,2
Washington Supreme Court,Court of Appeals of Texas,1
Wisconsin Supreme Court,Court of Appeals of Texas,3
Alabama Court of Appeals,Court of Appeals of Washington,2
Alaska Supreme Court,Court of Appeals of Washington,0
Appellate Court of Illinois,Court of Appeals of Washington,34
Appellate Division of the Supreme Court of the State of New York,Court of Appeals of Washington,1
Arizona Supreme Court,Court of Appeals of Washington,0
Arkansas Attorney General Reports,Court of Appeals of Washington,1
Board of Veterans' Appeals,Court of Appeals of Washington,0
California Court of Appeal,Court of Appeals of Washington,0
California Supreme Court,Court of Appeals of Washington,0
Colorado Attorney General Reports,Court of Appeals of Washington,0
Colorado Court of Appeals,Court of Appeals of Washington,0
Commonwealth Court of Pennsylvania,Court of Appeals of Washington,0
Connecticut Appellate Court,Court of Appeals of Washington,0
Connecticut Superior Court,Court of Appeals of Washington,10
Court for the Trial of Impeachments and Correction of Errors,Court of Appeals of Washington,1
Court of Appeals for the D.C. Circuit,Court of Appeals of Washington,0
Court of Appeals for the Eighth Circuit,Court of Appeals of Washington,0
Court of Appeals for the Eleventh Circuit,Court of Appeals of Washington,0
Court of Appeals for the Federal Circuit,Court of Appeals of Washington,0
Court of Appeals for the Fifth Circuit,Court of Appeals of Washington,2
Court of Appeals for the First Circuit,Court of Appeals of Washington,0
Court of Appeals for the Fourth Circuit,Court of Appeals of Washington,2
Court of Appeals for the Ninth Circuit,Court of Appeals of Washington,1
Court of Appeals for the Second Circuit,Court of Appeals of Washington,0
Court of Appeals for the Seventh Circuit,Court of Appeals of Washington,0
Court of Appeals for the Sixth Circuit,Court of Appeals of Washington,1
Court of Appeals for the Tenth Circuit,Court of Appeals of Washington,0
Court of Appeals for the Third Circuit,Court of Appeals of Washington,0
Court of Appeals of Arkansas,Court of Appeals of Washington,0
Court of Appeals of Georgia,Court of Appeals of Washington,0
Court of Appeals of Iowa,Court of Appeals of Washington,0
Court of Appeals of Kansas,Court of Appeals of Washington,2
Court of Appeals of Kentucky (pre-1976),Court of Appeals of Washington,0
Court of Appeals of Maryland,Court of Appeals of Washington,3
Court of Appeals of Minnesota,Court of Appeals of Washington,1
Court of Appeals of Mississippi,Court of Appeals of Washington,0
Court of Appeals of North Carolina,Court of Appeals of Washington,8
Court of Appeals of Oregon,Court of Appeals of Washington,6
Court of Appeals of South Carolina,Court of Appeals of Washington,0
Court of Appeals of Texas,Court of Appeals of Washington,0
Court of Appeals of Washington,Court of Appeals of Washington,0
Court of Appeals of Wisconsin,Court of Appeals of Washington,2
Court of Chancery of Delaware,Court of Appeals of Washington,0
Court of Civil Appeals of Alabama,Court of Appeals of Washington,6
Court of Claims of Illinois,Court of Appeals of Washington,1
Court of Criminal Appeals of Alabama,Court of Appeals of Washington,4
Court of Criminal Appeals of Oklahoma,Court of Appeals of Washington,0
Court of Criminal Appeals of Texas,Court of Appeals of Washington,0
Court of Customs and Patent Appeals,Court of Appeals of Washington,1
Court of King's Bench,Court of Appeals of Washington,1
District Court of Appeal of Florida,Court of Appeals of Washington,1
"District Court, C.D. California",Court of Appeals of Washington,0
"District Court, D. Alaska",Court of Appeals of Washington,0
"District Court, D. Arizona",Court of Appeals of Washington,0
"District Court, D. Massachusetts",Court of Appeals of Washington,0
"District Court, D. New Hampshire",Court of Appeals of Washington,0
"District Court, D. New Jersey",Court of Appeals of Washington,0
"District Court, D. South Carolina",Court of Appeals of Washington,0
"District Court, District of Columbia",Court of Appeals of Washington,0
"District Court, E.D. California",Court of Appeals of Washington,0
"District Court, E.D. New York",Court of Appeals of Washington,0
"District Court, E.D. Pennsylvania",Court of Appeals of Washington,0
"District Court, M.D. Florida",Court of Appeals of Washington,0
"District Court, N.D. California",Court of Appeals of Washington,0
"District Court, N.D. Illinois",Court of Appeals of Washington,0
"District Court, N.D. Indiana",Court of Appeals of Washington,0
"District Court, S.D. Florida",Court of Appeals of Washington,0
"District Court, S.D. Illinois",Court of Appeals of Washington,0
"District Court, S.D. New York",Court of Appeals of Washington,0
"District Court, W.D. Michigan",Court of Appeals of Washington,0
District of Columbia Court of Appeals,Court of Appeals of Washington,1
Florida Attorney General Reports,Court of Appeals of Washington,1
Florida Fifth District Court of Appeal,Court of Appeals of Washington,0
Florida First District Court of Appeal,Court of Appeals of Washington,0
Florida Fourth District Court of Appeal,Court of Appeals of Washington,0
Florida Second District Court of Appeal,Court of Appeals of Washington,0
Florida Third District Court of Appeal,Court of Appeals of Washington,0
Hawaii Intermediate Court of Appeals,Court of Appeals of Washington,0
Hawaii Supreme Court,Court of Appeals of Washington,0
Idaho Court of Appeals,Court of Appeals of Washington,0
Idaho Supreme Court,Court of Appeals of Washington,0
Illinois Supreme Court,Court of Appeals of Washington,6
Indiana Court of Appeals,Court of Appeals of Washington,1
Indiana Supreme Court,Court of Appeals of Washington,0
Louisiana Attorney General Reports,Court of Appeals of Washington,0
Louisiana Court of Appeal,Court of Appeals of Washington,0
Massachusetts Appeals Court,Court of Appeals of Washington,1
Massachusetts Supreme Judicial Court,Court of Appeals of Washington,0
Michigan Supreme Court,Court of Appeals of Washington,1
Mississippi Supreme Court,Court of Appeals of Washington,1
